sa2_code,National Parks (%) 2014
315021404,3.7
315021406,0.2
315021407,1
315031408,0.6
315031409,0.7
315031410,7
315031411,1.9
315031412,1.6
316011414,5.4
316011416,49.1
316031425,21.9
316031426,8.8
316041429,0.8
316041431,3
316041432,1.3
316041433,21.4
316051434,37.9
316051435,9.5
316051436,48.9
316051437,34.2
316051438,53.5
316061439,6.7
316061440,17.2
316061441,8.4
316061442,4.9
316061443,39
316061444,2.4
317011451,11.1
318011461,3.6
318011463,2
318011465,29.1
318021483,68.3
318021486,32.1
318021489,19.4
319011498,4.5
319011499,14.1
319021503,3
319021504,5.5
319021506,0.4
319021507,1.4
319021508,4.1
319021509,6.2
319021510,16.1
319031511,40.5
319031514,7.4
319031515,11.4
319051522,60.5
319051525,6.4
401021004,0.7
401021010,7.5
401031012,5.5
403031065,..
403041075,1.3
403041078,25.7
403041083,6.3
403041087,1.1
405041128,4.1
406011130,7
406021141,1
407011144,10.3
407011145,7.4
407011149,4.5
407021151,2
407021155,0.1
407031169,4.5
501011001,20.1
501011002,1.5
501011003,8.9
501011004,25.6
501021005,9.2
501021007,2.9
501021009,23.1
501021010,17.8
501021013,3.2
501021014,2.3
501021015,0.2
501021016,21.6
501031017,6.8
501031018,4.5
501031019,0.1
501031020,41.7
502011021,47.9
502011024,4.8
502011026,1.7
504021049,2
504021050,40.7
504021051,3.9
504021052,9.8
504021053,18.6
504021054,15.9
504031055,30.6
504031058,0.1
504031060,0.1
504031067,16.6
504031069,98.1
505011077,1.8
505011078,0.1
505031099,0.2
505031101,6.7
505031106,49.8
505031109,6
506011111,10.9
506011115,0.3
506011116,20
506031124,3.1
506031127,2.1
506031128,4.6
506041136,10.3
506051138,1.3
506051140,9.8
506051141,40.2
506061144,7.4
507011152,11.2
507011155,31.2
507011161,0.1
507011162,3
507031170,0.8
507051188,4.4
508011195,11.3
508021197,12
508031202,1.1
508031203,0.5
508041205,0.1
508041206,5.6
508041207,3.4
508041208,9.9
508041209,0.1
508051215,6.2
508051216,16.8
508051217,10.6
508061218,13.2
508061219,3.9
508061223,0.6
509011226,3.6
509011228,53.6
509011229,3.2
509011231,0.6
509011232,27.9
509011233,0.1
509011234,20.3
509011235,99.6
509021239,9.3
509021241,0.9
509021242,2.4
509021243,1.8
509021244,1.3
509021245,11.5
509031246,3.2
509031247,1.9
509031248,3.1
509031250,0.9
601021006,10.1
601041022,2.2
601041025,100
602021053,3.9
602021054,2.4
602021057,2.6
602031061,3.8
602031063,1.9
602031064,10.8
