Location,sa3_code,Building Approvals - Value of total building ($M) 2016,Building Approvals - Value of private sector houses ($m) 2016,Estimated Resident Population - Persons - Total (2015),Population density (ERP at 30 June) (persons/km2) 2015, Total number of businesses  (2015),Total employed by Industry (no.) Census (2011),Estimates of Personal Income - Median employee income ($) 2013,Persons with Post School Qualifications - With Bachelor Degree (%) Census (2011),Access to Internet at Home - Proportion of all occupied private dwellings (%) Census (2011),Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%) Census 2011,Method of Travel to Work - Used one method - Train or tram (no.) 2011,Method of Travel to Work - Used one method - Bus (no.) 2011,Method of Travel to Work - Used one method - Car (as driver or passenger) (no.) 2011,Method of Travel to Work - Used one method - Walked only (no.) 2011
Hobart - North West,60103,79,20,52385,312.8,2449,22651,47307,12.2,72.1,2.9,14,1235,16317,66
Hobart - South and West,60104,71,48,52637,100.1,2046,21658,48789,5.9,62.2,4.2,9,1013,15493,363
Hobart Inner,60105,265,52,32878,816.3,5945,14914,43357,16.7,78.9,3,13,663,10567,572
Sorell - Dodges Ferry,60106,41,32,50796,22.6,958,24523,42993,23.8,76.8,1.2,18,1201,13668,330
Launceston,60201,207,87,15667,319.5,5926,6773,55052,7.6,70.1,3.8,3,57,5001,3780
Darwin City,70101,230,22,83279,655.2,3694,35555,56682,11.1,69,2.8,11,533,26044,151
Darwin Suburbs,70102,281,92,26581,436.9,3587,13247,59695,16.5,72.4,6.2,6,414,8580,1753
Litchfield,70103,209,39,57864,7.9,1679,25923,60114,13.8,72,10.4,11,1027,18505,1379
Palmerston,70104,291,124,23269,657.6,1414,9636,59033,7.2,68.1,7.2,7,151,6600,766
Belconnen,80101,533,71,34544,1254.7,4502,14241,70063,7.8,75.5,10.9,4,460,10687,611
Cotter - Namadgi,80102,145,42,96600,2.2,103,49483,47279,20,83.4,1.3,33,3117,35017,329
Fyshwick - Pialligo - Hume,80103,102,1,3707,6.7,1686,338,62736,17.3,78.9,0.6,0,3,201,1141
Gungahlin,80104,476,203,1482,737,3715,610,60875,6.9,57.9,5,0,16,424,43
North Canberra,80105,594,41,66756,1416,3932,26885,69791,21.1,88.1,1.2,21,1604,20214,36
South Canberra,80106,225,32,53361,755.4,3586,26202,60964,26.6,77.9,1.1,28,1945,13119,277
Tuggeranong,80107,274,19,26169,569.9,3914,13343,66018,29.1,80.8,1.5,11,654,8997,3965
Weston Creek,80108,37,18,85743,1419.8,1203,49806,65246,15.3,85.4,2.1,15,2069,37758,846
Woden,80109,89,35,22462,1203.7,2759,11699,,22.6,83.7,1.3,3,479,8417,653
,,,,34426,,,17235,,26,82.2,1.1,17,1145,11417,175
,,,,,,,,,,,,,,,1000
